"a","b","c","d","e","f","g","h","i","j","k","l","m","n","̱","o","p","q","r","s"
576,530,475,686,506,382,424,381,417,554,467,495,600,505,390,332,505,476,655,676
585,572,546,436,582,518,407,406,450,462,628,552,557,455,453,385,427,553,452,645
686,592,476,431,720,463,398,463,416,609,738,570,721,480,505,512,483,479,413,493
376,533,453,419,479,634,517,517,717,648,748,728,958,560,700,524,652,655,633,435
830,630,548,269,664,805,543,504,638,837,683,730,690,732,614,517,497,664,570,490
699,592,485,335,796,623,635,520,621,635,700,683,792,548,450,480,535,607,549,448
625,577,529,390,592,571,432,440,425,545,588,509,785,470,439,380,546,442,466,383
749,495,341,233,490,544,559,409,441,418,548,715,665,622,550,440,720,607,607,452
520,539,649,501,655,566,545,455,448,497,482,408,883,781,844,464,875,696,896,560
445,379,360,490,486,530,647,512,508,500,514,536,668,748,812,608,676,512,869,651
425,345,519,535,633,716,574,521,622,487,507,705,682,750,895,630,978,583,743,553
720,706,676,640,757,937,590,553,664,560,540,772,538,419,552,646,1032,824,1049,495
619,625,755,655,692,791,601,550,641,683,620,435,696,757,742,854,846,981,753,861
537,614,606,651,803,530,563,582,725,659,581,398,710,636,863,738,672,750,781,683
587,558,640,875,727,636,467,532,611,673,509,482,642,653,732,761,693,650,858,571
514,589,474,660,945,684,542,483,342,566,588,311,678,500,648,682,880,471,911,671
365,383,340,611,676,523,520,480,607,586,615,477,541,637,473,261,532,510,689,543
407,446,282,690,720,522,455,467,601,462,543,454,619,618,516,322,656,615,708,569
494,501,584,887,609,406,499,540,622,534,535,428,740,528,610,274,571,604,650,498
545,619,460,708,788,648,582,518,508,776,710,549,761,976,619,486,603,685,572,442
